step,fitness
256,2.0114580598499456
257,2.0114580598499456
258,2.0114580598499456
259,2.0114580598499456
260,2.0114580598499456
261,2.0114580598499456
262,2.0114580598499456
263,2.0114580598499456
264,2.0114580598499456
265,2.0114580598499456
266,2.0114580598499456
267,2.0114580598499456
268,2.0114580598499456
269,2.0114580598499456
270,2.0114580598499456
271,2.0114580598499456
272,2.0114580598499456
273,2.0114580598499456
274,2.0114580598499456
275,2.0114580598499456
276,2.0114580598499456
277,2.0114580598499456
278,2.0114580598499456
279,2.0114580598499456
280,2.0114580598499456
281,2.0114580598499456
282,2.0114580598499456
283,2.0114580598499456
284,2.0114580598499456
285,2.0114580598499456
286,2.0114580598499456
287,2.0114580598499456
288,2.0114580598499456
289,2.0114580598499456
290,2.0114580598499456
291,2.0114580598499456
